Date,RR,Rain7,RH_avg,Tavg,FRI_v2,FRI_v3_Final,Risk_Class_v3_Final,Confidence_v3_Final
2024-07-01,0.1,0.1,81.0,27.4,20.118740157480318,25.115118110236217,Low,1.0
2024-07-02,0.0,0.1,77.0,27.9,14.141240157480317,20.68011811023622,Low,1.0
2024-07-03,2.1,2.2,74.0,28.6,16.52069616297963,24.476566679165106,Low,1.0
2024-07-04,0.0,2.2,73.0,27.6,12.714426321709793,17.819741282339724,Low,1.0
2024-07-05,0.0,2.2,78.0,27.3,15.829505686789156,20.032042869641305,Low,1.0
2024-07-06,0.8,3.0,79.0,27.4,18.932204724409445,23.38354330708661,Low,1.0
2024-07-07,2.5,5.5,75.0,27.9,18.321780089988746,24.08506749156355,Low,1.0
2024-07-08,,5.4,,,8.503937007874002,8.503937007874002,Low,0.35
2024-07-09,1.6,7.0,87.0,26.9,32.887922134733145,35.165489938757645,Medium,1.0
2024-07-10,1.5,6.4,86.0,26.1,30.306036745406814,31.26089238845144,Low,1.0
2024-07-11,,6.4,74.0,27.6,18.39691913510811,24.31813670350031,Low,0.85
2024-07-12,0.0,6.4,86.0,26.4,29.956036745406813,30.860892388451433,Low,1.0
2024-07-13,17.3,22.9,79.0,28.7,38.39669424428431,43.81746374877679,Medium,1.0
2024-07-14,0.0,20.4,82.0,27.0,34.700338048216345,34.295792189307,Medium,1.0
2024-07-15,0.0,20.4,78.0,27.6,29.311449159327463,30.643014411529233,Low,1.0
2024-07-16,0.0,18.8,77.0,27.9,27.733436749399505,30.19465572457965,Low,1.0
2024-07-17,0.0,17.3,72.0,28.5,25.8085516031873,29.804081360326354,Low,1.0
2024-07-18,0.6,17.900000000000002,77.0,27.9,27.61314851881504,30.302453963170528,Low,1.0
2024-07-19,0.0,17.900000000000002,77.0,28.6,28.8662040743706,32.92856507428165,Low,1.0
2024-07-20,0.0,0.6,74.0,29.1,15.115298087739031,23.723565804274468,Low,1.0
2024-07-21,0.0,0.6,75.0,29.0,15.512123484564428,23.981502312210974,Low,1.0
2024-07-22,0.0,0.6,75.0,29.2,15.789901262342209,24.53705786776653,Low,1.0
2024-07-23,0.0,0.6,71.0,29.7,14.34148856392951,23.783089613798275,Low,1.0
2024-07-24,0.0,0.6,69.0,29.9,13.547837770278711,23.267216597925252,Low,1.0
2024-07-25,0.0,0.0,71.0,29.2,13.174603174603176,22.063492063492063,Low,1.0
2024-07-26,0.0,0.0,75.0,28.1,13.616071428571436,20.80357142857144,Low,1.0
2024-07-27,0.0,0.0,72.0,28.9,13.293650793650793,21.765873015873016,Low,1.0
2024-07-28,0.0,0.0,72.0,29.2,13.71031746031746,22.59920634920635,Low,1.0
2024-07-29,0.0,0.0,74.0,29.0,14.503968253968251,23.115079365079364,Low,1.0
2024-07-30,0.0,0.0,76.0,28.6,15.019841269841272,23.075396825396833,Low,1.0
2024-07-31,0.3,0.3,91.0,25.0,27.231220472440945,28.47035433070866,Low,1.0
2024-08-01,27.0,27.3,79.0,28.0,39.8986589271417,44.001561248999195,Medium,1.0
2024-08-02,0.0,27.3,79.0,28.4,36.101436704919486,38.75711680455474,Medium,1.0
2024-08-03,0.0,27.3,75.0,29.0,32.11334146682424,35.60235489979284,Medium,1.0
2024-08-04,7.0,34.3,86.0,26.4,47.05923405390978,44.646463837736846,Medium,1.0
