Date,RR,Rain7,RH_avg,Tavg,FRI_v2,FRI_v3,Risk_Class_v3,Confidence_v3
2024-07-01,0.1,0.1,81.0,27.4,20.118740157480318,25.139370078740157,Low,1.0
2024-07-02,0.0,0.1,77.0,27.9,14.141240157480317,22.695620078740152,Low,1.0
2024-07-03,2.1,2.2,74.0,28.6,16.52069616297963,28.015744906886642,Low,1.0
2024-07-04,0.0,2.2,73.0,27.6,12.714426321709793,19.392927446569196,Low,1.0
2024-07-05,0.0,2.2,78.0,27.3,15.829505686789156,20.484197287839034,Low,1.0
2024-07-06,0.8,3.0,79.0,27.4,18.932204724409445,23.85610236220472,Low,1.0
2024-07-07,2.5,5.5,75.0,27.9,18.321780089988746,26.428747187851513,Low,1.0
2024-07-08,,5.4,,,8.503937007874002,8.503937007874002,Low,0.25
2024-07-09,1.6,7.0,87.0,26.9,32.887922134733145,32.65451662292212,Low,1.0
2024-07-10,1.5,6.4,86.0,26.1,30.306036745406814,28.186351706036746,Low,1.0
2024-07-11,,6.4,74.0,27.6,18.39691913510811,28.657199100112507,Low,0.75
2024-07-12,0.0,6.4,86.0,26.4,29.956036745406813,27.31135170603674,Low,1.0
2024-07-13,17.3,22.9,79.0,28.7,38.39669424428431,46.61723601103104,Medium,1.0
2024-07-14,0.0,20.4,82.0,27.0,34.700338048216345,30.627946801885955,Low,1.0
2024-07-15,0.0,20.4,78.0,27.6,29.311449159327463,29.030724579663747,Low,1.0
2024-07-16,0.0,18.8,77.0,27.9,27.733436749399505,29.491718374699747,Low,1.0
2024-07-17,0.0,17.3,72.0,28.5,25.8085516031873,30.344751992069842,Low,1.0
2024-07-18,0.6,17.900000000000002,77.0,27.9,27.61314851881504,29.911574259407516,Low,1.0
2024-07-19,0.0,17.900000000000002,77.0,28.6,28.8662040743706,33.044213148296414,Medium,1.0
2024-07-20,0.0,0.6,74.0,29.1,15.115298087739031,27.02193475815524,Low,1.0
2024-07-21,0.0,0.6,75.0,29.0,15.512123484564428,27.12114110736158,Low,1.0
2024-07-22,0.0,0.6,75.0,29.2,15.789901262342209,27.815585551806024,Low,1.0
2024-07-23,0.0,0.6,71.0,29.7,14.34148856392951,27.765982377202846,Low,1.0
2024-07-24,0.0,0.6,69.0,29.9,13.547837770278711,27.567569678790147,Low,1.0
2024-07-25,0.0,0.0,71.0,29.2,13.174603174603176,25.793650793650794,Low,1.0
2024-07-26,0.0,0.0,75.0,28.1,13.616071428571436,23.325892857142875,Low,1.0
2024-07-27,0.0,0.0,72.0,28.9,13.293650793650793,25.198412698412696,Low,1.0
2024-07-28,0.0,0.0,72.0,29.2,13.71031746031746,26.240079365079364,Low,1.0
2024-07-29,0.0,0.0,74.0,29.0,14.503968253968251,26.438492063492063,Low,1.0
2024-07-30,0.0,0.0,76.0,28.6,15.019841269841272,25.942460317460327,Low,1.0
2024-07-31,0.3,0.3,91.0,25.0,27.231220472440945,24.897276902887143,Low,1.0
2024-08-01,27.0,27.3,79.0,28.0,39.8986589271417,46.849329463570854,Medium,1.0
2024-08-02,0.0,27.3,79.0,28.4,36.101436704919486,37.3562739080153,Medium,1.0
2024-08-03,0.0,27.3,75.0,29.0,32.11334146682424,35.421750098491486,Medium,1.0
2024-08-04,7.0,34.3,86.0,26.4,47.05923405390978,40.396283693621555,Medium,1.0
2024-08-05,,34.3,83.0,26.9,46.096679812986174,45.28763751742133,Medium,0.75
2024-08-06,,34.3,80.0,28.0,44.30655635619605,50.75060048038431,Medium,0.75
2024-08-07,24.1,58.10000000000001,88.0,26.6,59.47703131703131,52.03073788073789,Medium,1.0
