Config,Description,Weights,mean,median,std,variance,cv,min,max,range,q1,q3,iqr,skewness,kurtosis,Low_count,Medium_count,High_count,Low_pct,Medium_pct,High_pct,bin_0-20,bin_20-40,bin_40-60,bin_60-80,bin_80-100
A,Current production (Rain7-dominant),RR=10 Rain7=50 RH=30 Tavg=10,45.39967150772013,45.95260202575521,18.68408354346853,349.0949778593116,0.4115,8.503937007874002,86.55622489959838,78.05228789172438,30.416920478640133,61.51889737521515,31.101976896575014,-0.14574176059444802,-1.023755168627216,205,404,117,28.24,55.65,16.12,95,185,245,197,4
B,Equal weight (v3 candidate),RR=25 Rain7=25 RH=25 Tavg=25,41.64345759961891,41.07426558044337,12.532809553763146,157.07131531089678,0.301,8.503937007874002,75.7781124497992,67.2741754419252,31.352624162822323,50.433062774320085,19.08043861149776,0.17171879034149287,-0.6257190092174891,200,506,20,27.55,69.7,2.75,16,325,313,72,0
C,"Balanced rainfall, moderate secondary",RR=30 Rain7=30 RH=20 Tavg=20,39.92215540467167,39.19491650605754,14.303748276564406,204.5972147593192,0.3583,8.503937007874002,80.1004016064257,71.5964645985517,28.044810848678942,49.444671814671814,21.399860965992872,0.2605321404140825,-0.6710302500394429,249,445,32,34.3,61.29,4.41,47,331,268,79,1
D,RR-heavy with equal secondary,RR=35 Rain7=25 RH=20 Tavg=20,38.55348264960515,37.18221510541767,14.100310777370401,198.81876401842788,0.3657,8.503937007874002,80.36144578313252,71.85750877525852,27.248440483401133,48.20555984555984,20.957119362158707,0.41802978955851233,-0.5134309472150003,283,415,28,38.98,57.16,3.86,47,375,233,70,1
E,"Moderate Rain7, balanced secondary",RR=20 Rain7=40 RH=20 Tavg=20,42.66989444854036,43.106416051476344,15.082536994167679,227.4829221804366,0.3535,8.503937007874002,79.57831325301204,71.07437624513804,30.52062099736033,54.07110682110681,23.55048582374648,-0.008511357122372753,-0.9388204797521258,216,469,41,29.75,64.6,5.65,38,274,309,105,0
F,"V2-like with reduced Rain7, higher RH",RR=15 Rain7=35 RH=30 Tavg=20,44.379674989803576,44.48945409695409,14.437762233036091,208.44897829768328,0.3253,8.503937007874002,79.00602409638554,70.50208708851154,33.264617106685186,56.12834350917183,22.86372640248664,-0.07985117292061494,-0.925573475782985,180,495,51,24.79,68.18,7.02,23,253,327,123,0
G,RR-dominant (inverse of v2),RR=40 Rain7=20 RH=20 Tavg=20,37.18942924286561,35.3844498604341,14.033532886680867,196.9400452815534,0.3774,8.503937007874002,80.62248995983936,72.11855295196536,26.291861835925435,46.08052739742782,19.788665561502388,0.5724343041811758,-0.36492616263719135,316,385,25,43.53,53.03,3.44,54,419,184,68,1
H,"Moderate Rain7, equal secondary",RR=20 Rain7=30 RH=30 Tavg=20,43.001374640246915,42.75411491934862,13.970171479827284,195.16569117577964,0.3249,8.503937007874002,79.26706827309236,70.76313126521836,32.17001525073328,53.47639648988869,21.306381239155414,0.026948171407924524,-0.8331959306247287,199,491,36,27.41,67.63,4.96,24,282,325,95,0
I,"Rain7-heavy, reduced secondary",RR=25 Rain7=35 RH=20 Tavg=20,41.29452363839976,41.30076505648964,14.63465948353912,214.17325819914154,0.3544,8.503937007874002,79.83935742971889,71.33542042184489,29.265928615908596,51.94862490502551,22.682696289116915,0.11474865249112776,-0.8173994848404891,229,459,38,31.54,63.22,5.23,42,308,287,89,0
