,count,mean,std,min,25%,median,75%,max
rr,652.0,9.33941717791411,17.74485568250195,0.0,0.0,0.8,11.075,115.8
rain3,724.0,25.186325966850852,30.231091838211672,0.0,2.0000000000000124,14.30000000000003,40.65000000000003,167.00000000000003
rain7,726.0,58.41652892561984,53.03569860403259,0.0,15.875000000000025,47.10000000000003,85.95000000000003,297.6
rain14,726.0,115.64944903581267,86.29935768953928,0.1,50.574999999999996,98.2,165.75,409.6
rh_avg,721.0,81.27018030513176,6.1578934074442175,63.0,77.0,81.0,86.0,98.0
temp_range,720.0,9.046666666666667,1.8158137062637674,3.1000000000000014,8.0,9.200000000000003,10.200000000000005,14.7
rainfall_anomaly,652.0,50.076687116564415,27.808623446553963,21.012269938650302,21.012269938650302,50.61349693251533,75.03834355828221,100.0
