city,tanggal,rr,rain3,rain7,rain14,rh_avg,temp_range,rainfall_anomaly,month,day_of_year,fri,risk,recommendations
Pekanbaru,2026-07-02,0.8,,,,85.0,,,,,49.96,Risiko Sedang,Bayam; Sawi Hijau; Kangkung; Kacang Panjang; Pare
Medan,2026-07-02,9.7,,,,87.0,,,,,54.84,Risiko Sedang,Bayam; Sawi Hijau; Kangkung; Talas; Kacang Panjang
Padang,2026-07-02,3.1,,,,86.0,,,,,49.11,Risiko Sedang,Bayam; Sawi Hijau; Kangkung; Kacang Panjang; Pare
Palembang,2026-07-02,0.0,,,,70.0,,,,,18.13,Risiko Rendah,Bayam; Sawi Hijau; Kemangi; Selada; Mentimun
Jambi,2026-07-02,0.0,,,,42.0,,,,,6.08,Risiko Rendah,Cabai Rawit; Kemangi; Cabai Merah; Selada; Mentimun
Bandung,2026-07-02,0.1,,,,66.0,,,,,12.4,Risiko Rendah,Bayam; Kemangi; Selada; Cabai Rawit; Mentimun
Jakarta,2026-07-02,1.6,,,,60.0,,,,,17.89,Risiko Rendah,Bayam; Sawi Hijau; Kemangi; Selada; Mentimun
Bogor,2026-07-02,0.1,,,,61.0,,,,,9.2,Risiko Rendah,Cabai Rawit; Kemangi; Selada; Cabai Merah; Mentimun
Semarang,2026-07-02,0.0,,,,61.0,,,,,11.24,Risiko Rendah,Kemangi; Bayam; Cabai Rawit; Selada; Mentimun
Yogyakarta,2026-07-02,0.0,,,,77.0,,,,,12.25,Risiko Rendah,Bayam; Kemangi; Selada; Cabai Rawit; Mentimun
