Feature,Train_Mean,Real_Mean,Difference,Train_Median,Real_Median,Median_Difference,Train_Min,Real_Min,Train_Max,Real_Max,Train_Std,Real_Std
rr,9.33941717791411,2.6060000000000003,-6.733417177914109,0.8,1.25,0.44999999999999996,0.0,0.0,115.8,16.9,17.74485568250195,3.5190101808692207
rain3,25.186325966850852,,,14.30000000000003,,,0.0,,167.00000000000003,,30.231091838211672,
rain7,58.41652892561984,,,47.10000000000003,,,0.0,,297.6,,53.03569860403259,
rain14,115.64944903581267,,,98.2,,,0.1,,409.6,,86.29935768953928,
rh_avg,81.27018030513176,78.4,-2.870180305131754,81.0,82.0,1.0,63.0,42.0,98.0,92.0,6.1578934074442175,10.406042200842464
temp_range,9.046666666666667,,,9.200000000000003,,,3.1000000000000014,,14.7,,1.8158137062637674,
rainfall_anomaly,50.076687116564415,,,50.61349693251533,,,21.012269938650302,,100.0,,27.808623446553963,
