,count,mean,std,min,25%,50%,75%,max
rr,50.0,2.6060000000000003,3.5190101808692207,0.0,0.2,1.25,3.525,16.9
rain3,0.0,,,,,,,
rain7,0.0,,,,,,,
rain14,0.0,,,,,,,
rh_avg,50.0,78.4,10.406042200842464,42.0,72.25,82.0,86.0,92.0
temp_range,0.0,,,,,,,
rainfall_anomaly,0.0,,,,,,,
month,0.0,,,,,,,
day_of_year,0.0,,,,,,,
